Hour,Minute,Second,AccZ,AccY,AccX,Temp,EDA,Label
15,52,15,0.02,-0.21,-0.8,27.9,0.239,Relax
15,52,15.125,0.02,-0.23,-0.8,27.9,0.239,Relax
15,52,15.25,0.02,-0.21,-0.8,28.1,0.239,Relax
15,52,15.375,0.02,-0.23,-0.81,27.9,0.238,Relax
15,52,15.5,0,-0.22,-0.81,27.9,0.239,Relax
15,52,15.625,0.01,-0.23,-0.81,27.9,0.242,Relax
15,52,15.75,0,-0.23,-0.8,27.9,0.239,Relax
15,52,15.875,0,-0.22,-0.8,27.9,0.239,Relax
15,52,16,0,-0.22,-0.81,27.9,0.242,Relax
15,52,16.125,0,-0.22,-0.81,27.9,0.241,Relax
15,52,16.25,0,-0.22,-0.8,28.1,0.242,Relax
15,52,16.375,0,-0.22,-0.8,27.9,0.244,Relax
15,52,16.5,0,-0.22,-0.81,27.9,0.243,Relax
15,52,16.625,0,-0.22,-0.8,27.9,0.244,Relax
15,52,16.75,0.01,-0.23,-0.79,27.9,0.246,Relax
15,52,16.875,0,-0.23,-0.8,27.9,0.244,Relax
15,52,17,0.01,-0.23,-0.8,27.9,0.247,Relax
15,52,17.125,0,-0.23,-0.8,27.9,0.244,Relax
15,52,17.25,0.01,-0.24,-0.8,27.9,0.247,Relax
15,52,17.375,0.01,-0.23,-0.8,27.9,0.244,Relax
15,52,17.5,0.01,-0.22,-0.8,27.9,0.246,Relax
15,52,17.625,0,-0.24,-0.8,27.9,0.247,Relax
15,52,17.75,0.01,-0.24,-0.8,27.9,0.247,Relax
15,52,17.875,0.01,-0.24,-0.8,27.9,0.247,Relax
15,52,18,0.01,-0.23,-0.79,27.9,0.246,Relax
15,52,18.125,0.01,-0.24,-0.8,27.9,0.247,Relax
15,52,18.25,0.01,-0.23,-0.8,27.9,0.247,Relax
15,52,18.375,0.01,-0.24,-0.79,28.1,0.247,Relax
15,52,18.5,0,-0.23,-0.8,28.1,0.247,Relax
15,52,18.625,0.01,-0.23,-0.8,28.1,0.244,Relax
15,52,18.75,0,-0.23,-0.8,27.9,0.247,Relax
15,52,18.875,0.01,-0.24,-0.79,28.1,0.247,Relax
15,52,19,0,-0.23,-0.8,27.9,0.247,Relax
15,52,19.125,0,-0.22,-0.8,28.1,0.247,Relax
15,52,19.25,0,-0.23,-0.8,27.9,0.246,Relax
15,52,19.375,0,-0.25,-0.8,27.9,0.246,Relax
15,52,19.5,0.01,-0.24,-0.8,28.1,0.247,Relax
15,52,19.625,0,-0.23,-0.8,28.1,0.247,Relax
15,52,19.75,0,-0.24,-0.8,28.1,0.247,Relax
